city,sku_code,sku_name,quantity,as_of_date
NCR,MWBWPCK.0003.B0_N,BW White cake box bag,8000,31-05-2026
NCR,MWBWPCK.0004.B0_N,BW White mobile box bags,6000,31-05-2026
NCR,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),2000,31-05-2026
NCR,MWLJPCK.0001.B0_N,LJ Cake Box,10400,31-05-2026
NCR,MWLJPCK.0006.B0_N,LJ Kit Box,4000,31-05-2026
NCR,MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,10000,31-05-2026
NCR,MWLJPCK.0002.B0_N,LJ medium (gummies) box,2000,31-05-2026
NCR,MWMMPCK.0002.AAAA.B0_N,MM Cake Box,15700,31-05-2026
NCR,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),8000,31-05-2026
NCR,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,600,31-05-2026
NCR,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,0,31-05-2026
NCR,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,1000,31-05-2026
NCR,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),14000,31-05-2026
NCR,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,0,31-05-2026
NCR,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,8000,31-05-2026
NCR,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,7000,31-05-2026
NCR,OWNAPP.0003,OuterBox Pack of 1,1000,31-05-2026
NCR,OWNAPP.0002,OuterBox Pack of 2,5000,31-05-2026
NCR,POIGN44,Transparent Tape,0,31-05-2026
NCR,MWLJPCK.0008.B0_N,White Bulk Box Medium,0,31-05-2026
NCR,MWMMPCK.0010.AAAA.B0_N,White bulk box,0,31-05-2026
